Fecha,Julian_days,Nivel de EMERREL,EMEAC (%)
2025-02-01,32,Bajo,3.5610609111708304e-10
2025-02-02,33,Bajo,9.115759587503875e-09
2025-02-03,34,Bajo,9.996002465062902e-05
2025-02-04,35,Bajo,0.16510783276205246
2025-02-05,36,Bajo,0.16510783388333453
2025-02-06,37,Bajo,0.3920367521707155
2025-02-07,38,Bajo,0.3928793254085646
2025-02-08,39,Bajo,0.39287946593626305
2025-02-09,40,Medio,1.3692042041232269
2025-02-10,41,Bajo,1.3692042041250856
2025-02-11,42,Bajo,1.3692042041250856
2025-02-12,43,Bajo,1.3692042041251327
2025-02-13,44,Bajo,1.369204209937362
2025-02-14,45,Bajo,1.369204209937362
2025-02-15,46,Bajo,1.369204209940195
2025-02-16,47,Bajo,1.3692042099401993
2025-02-17,48,Bajo,1.3692042099401993
2025-02-18,49,Bajo,1.3692042099401993
2025-02-19,50,Bajo,1.3692042099401993
2025-02-20,51,Alto,5.936679819248209
2025-02-21,52,Medio,7.847100686433254
2025-02-22,53,Alto,12.44797485252481
2025-02-23,54,Bajo,12.44814034848705
2025-02-24,55,Medio,14.990278340599028
2025-02-25,56,Bajo,14.990368733462839
2025-02-26,57,Bajo,14.990368733463699
2025-02-27,58,Bajo,14.990369190126493
2025-02-28,59,Alto,19.529047584463157
2025-03-01,60,Alto,22.673485715768294
2025-03-02,61,Bajo,22.673485715768294
2025-03-03,62,Alto,27.274359871845473
2025-03-04,63,Alto,31.87523403723343
2025-03-05,64,Bajo,31.943178346674518
2025-03-06,65,Bajo,31.943178346674518
2025-03-07,66,Alto,36.54405251276607
2025-03-08,67,Alto,40.778463097255255
2025-03-09,68,Bajo,40.77900069664888
2025-03-10,69,Alto,44.3590329636457
2025-03-11,70,Bajo,44.5836846370206
2025-03-12,71,Alto,49.182174353018375
2025-03-13,72,Alto,53.61692053049731
2025-03-14,73,Medio,55.099669653986304
2025-03-15,74,Medio,56.13034637294684
2025-03-16,75,Bajo,56.57513341524063
2025-03-17,76,Bajo,56.57513421595648
2025-03-18,77,Bajo,56.578823205057404
2025-03-19,78,Bajo,56.579001412774524
2025-03-20,79,Bajo,56.57907226921813
2025-03-21,80,Medio,57.347857851455586
2025-03-22,81,Bajo,57.352840841326746
2025-03-23,82,Alto,61.953713967133694
2025-03-24,83,Bajo,61.96704788774628
2025-03-25,84,Bajo,61.98745320072945
2025-03-26,85,Bajo,61.98745320072945
2025-03-27,86,Bajo,62.37755674779362
2025-03-28,87,Bajo,62.377556747794635
2025-03-29,88,Bajo,62.38884493449318
2025-03-30,89,Bajo,62.38884493449318
2025-03-31,90,Bajo,62.38884510063289
2025-04-01,91,Bajo,62.81079355480153
2025-04-02,92,Bajo,62.94392038107857
2025-04-03,93,Bajo,62.94392040433028
2025-04-04,94,Bajo,62.94392092580758
2025-04-05,95,Bajo,62.96121995331403
2025-04-06,96,Medio,65.83363519599627
2025-04-07,97,Bajo,65.84395745971263
2025-04-08,98,Bajo,65.89098490877493
2025-04-09,99,Bajo,65.91193017268975
2025-04-10,100,Bajo,66.16511849524268
2025-04-11,101,Alto,70.76598084450139
2025-04-12,102,Alto,75.3654910733136
2025-04-13,103,Bajo,75.37416829259469
2025-04-14,104,Alto,79.97482865056634
2025-04-15,105,Bajo,79.97622989539163
2025-04-16,106,Medio,82.0975670439275
2025-04-17,107,Alto,86.5988458118984
2025-04-18,108,Bajo,86.62014698550954
2025-04-19,109,Bajo,86.62014699556308
2025-04-20,110,Bajo,86.62016294887192
2025-04-21,111,Bajo,86.62238434073099
2025-04-22,112,Medio,87.50324812767522
2025-04-23,113,Bajo,87.56509554464897
2025-04-24,114,Bajo,87.56541038632449
2025-04-25,115,Bajo,87.56953055033814
2025-04-26,116,Bajo,87.65339929555952
2025-04-27,117,Bajo,87.6534559722084
2025-04-28,118,Bajo,87.6534559722084
2025-04-29,119,Bajo,87.65348693205283
2025-04-30,120,Bajo,88.18646940879016
2025-05-01,121,Bajo,88.18876746596388
2025-05-02,122,Bajo,88.23827415437064
2025-05-03,123,Bajo,88.23847180601318
2025-05-04,124,Medio,90.19195087181834
2025-05-05,125,Bajo,90.26697190921281
2025-05-06,126,Bajo,90.26697190921281
2025-05-07,127,Bajo,90.26697945531623
2025-05-08,128,Bajo,90.26704932957522
2025-05-09,129,Bajo,90.26726588321733
2025-05-10,130,Bajo,90.26726588335536
2025-05-11,131,Bajo,90.26734088668192
2025-05-12,132,Bajo,90.2673464049701
2025-05-13,133,Bajo,90.32880248918823
2025-05-14,134,Medio,91.40325276794101
2025-05-15,135,Bajo,91.40325276794383
2025-05-16,136,Bajo,91.40352944746772
2025-05-17,137,Bajo,91.40352944746772
2025-05-18,138,Bajo,91.40354786475288
2025-05-19,139,Medio,93.71627526537515
2025-05-20,140,Bajo,93.7162752658768
2025-05-21,141,Bajo,94.29773495529169
2025-05-22,142,Bajo,94.29773495529217
2025-05-23,143,Bajo,94.29773495529217
2025-05-24,144,Bajo,94.29774893736676
2025-05-25,145,Bajo,94.31333647559235
2025-05-26,146,Bajo,94.31459099970391
2025-05-27,147,Bajo,94.31459099970391
2025-05-28,148,Bajo,94.31459099970391
2025-05-29,149,Bajo,94.31459099970391
2025-05-30,150,Bajo,94.31459100119996
2025-05-31,151,Bajo,94.31459100168892
2025-06-01,152,Bajo,94.31459100168892
2025-06-02,153,Bajo,94.31459149326894
2025-06-03,154,Bajo,94.31459149401559
2025-06-04,155,Bajo,94.31459149401564
2025-06-05,156,Bajo,94.31459149401564
2025-06-06,157,Bajo,94.31459149401564
2025-06-07,158,Bajo,94.31465987052206
2025-06-08,159,Bajo,94.31465987052206
2025-06-09,160,Bajo,94.31465987052206
2025-06-10,161,Bajo,94.31465987052206
2025-06-11,162,Bajo,94.31465987052209
2025-06-12,163,Bajo,94.31465987052209
2025-06-13,164,Bajo,94.31465987226026
2025-06-14,165,Bajo,94.31465987226026
2025-06-15,166,Bajo,94.3146598722603
2025-06-16,167,Bajo,94.31467195332343
2025-06-17,168,Bajo,94.31467195332343
2025-06-18,169,Bajo,94.31467195332343
2025-06-19,170,Bajo,94.31467195332343
2025-06-20,171,Bajo,94.31467195332343
2025-06-21,172,Bajo,94.31467195332343
2025-06-22,173,Bajo,94.31528012673502
2025-06-23,174,Bajo,94.31528012673502
2025-06-24,175,Bajo,94.31528012673502
2025-06-25,176,Bajo,94.31528012673502
2025-06-26,177,Bajo,94.31528012673502
2025-06-27,178,Bajo,94.31528012673502
2025-06-28,179,Bajo,94.31528012673502
2025-06-29,180,Bajo,94.31528012673502
2025-06-30,181,Bajo,94.31528012673502
2025-07-01,182,Bajo,94.31528012673502
2025-07-02,183,Bajo,94.31528012673502
2025-07-03,184,Bajo,94.3893346506482
2025-07-04,185,Bajo,94.38933465066242
2025-07-05,186,Bajo,94.38933465066684
2025-07-06,187,Bajo,94.38933465066684
2025-07-07,188,Bajo,94.38933465066684
2025-07-08,189,Bajo,94.38933465066684
2025-07-09,190,Bajo,94.38933465066684
2025-07-10,191,Bajo,94.59147521419278
2025-07-11,192,Bajo,94.5914752141928
2025-07-12,193,Bajo,94.62721475814537
2025-07-13,194,Bajo,94.62721475814537
2025-07-14,195,Bajo,94.62721475814537
2025-07-15,196,Bajo,94.62721475814537
2025-07-16,197,Bajo,94.62833815832934
2025-07-17,198,Bajo,94.62833815832934
2025-07-18,199,Alto,99.22908210261856
2025-07-19,200,Bajo,99.22908210261856
2025-07-20,201,Bajo,99.2290821039521
2025-07-21,202,Bajo,99.22908210395211
2025-07-22,203,Bajo,99.22941341175458
2025-07-23,204,Bajo,99.22941341175458
2025-07-24,205,Bajo,99.22941341175458
2025-07-25,206,Bajo,99.22941341175458
2025-07-26,207,Bajo,99.2294143922645
2025-07-27,208,Bajo,99.2294143922645
2025-07-28,209,Bajo,99.22942027389587
2025-07-29,210,Bajo,99.22942027389587
2025-07-30,211,Bajo,99.22942027389587
2025-07-31,212,Bajo,99.22942027389587
2025-08-01,213,Bajo,99.22942027389587
2025-08-02,214,Bajo,99.22942027389587
2025-08-03,215,Bajo,99.22942027389587
2025-08-04,216,Bajo,99.22942032378502
2025-08-05,217,Bajo,99.22942032378502
2025-08-06,218,Bajo,99.22942032378502
2025-08-07,219,Bajo,99.22942032378505
2025-08-08,220,Bajo,99.22942032378505
2025-08-09,221,Bajo,99.22942032378505
2025-08-10,222,Bajo,99.22942032378505
2025-08-18,230,Bajo,99.22942032378505
2025-08-19,231,Bajo,99.22946989803208
